timeOnIce,goals,assists,plusMinus,powerPlayGoals,shots,hits,penaltyMinutes,points
764.6,0.0,0.0,-0.8,0.0,1.0,0.6,0.4,0.0
766.8,0.0,0.0,-0.4,0.0,1.4,0.6,0.4,0.0
721.0,0.0,0.0,-0.6,0.0,1.4,0.4,0.4,1.0
1338.4,0.2,0.4,0.0,0.0,2.4,0.4,0.0,1.0
1379.0,0.4,0.4,0.4,0.2,2.4,0.4,0.0,0.0
1291.6,0.2,0.4,-0.2,0.2,2.2,0.2,0.4,0.0
1251.4,0.2,0.2,0.4,0.2,3.0,0.2,0.4,0.0
1241.8,0.2,0.0,0.4,0.2,3.0,0.2,0.4,0.0
1301.8,0.2,0.0,0.4,0.2,2.8,0.2,0.4,0.0
1311.6,0.0,0.0,0.0,0.0,2.6,0.2,0.4,0.0
1347.6,0.0,0.0,0.2,0.0,3.6,0.4,0.4,0.0
1360.6,0.0,0.0,0.2,0.0,2.6,0.4,0.4,0.0
1379.6,0.0,0.0,-0.4,0.0,2.6,0.4,0.4,0.0
1332.2,0.0,0.0,-0.6,0.0,2.4,0.4,0.4,2.0
1261.4,0.2,0.2,0.0,0.0,2.4,0.2,0.4,1.0
1244.0,0.4,0.2,0.4,0.0,1.8,0.2,0.0,0.0
1208.0,0.4,0.2,0.4,0.0,2.2,0.4,0.0,0.0
1209.8,0.4,0.2,0.8,0.0,2.2,0.6,0.0,0.0
1242.6,0.4,0.2,0.6,0.0,3.0,0.8,0.0,1.0
1271.4,0.2,0.2,0.2,0.0,3.0,0.8,0.0,2.0
1256.6,0.0,0.6,0.4,0.0,2.8,0.6,0.0,0.0
1274.6,0.0,0.6,0.4,0.0,2.8,0.4,0.0,0.0
1241.6,0.0,0.6,0.2,0.0,2.4,0.4,0.0,0.0
1254.8,0.0,0.6,0.6,0.0,1.4,0.2,0.0,1.0
1279.2,0.0,0.6,0.4,0.0,1.4,0.2,0.0,0.0
1289.0,0.0,0.2,0.2,0.0,1.4,0.2,0.0,0.0
1272.8,0.0,0.2,0.4,0.0,1.6,0.2,0.0,0.0
1285.2,0.0,0.2,0.6,0.0,1.4,0.0,0.4,0.0
1230.8,0.0,0.2,0.2,0.0,1.6,0.0,0.4,1.0
1197.2,0.0,0.2,0.2,0.0,1.4,0.0,0.4,0.0
1232.2,0.0,0.2,0.2,0.0,1.6,0.6,0.4,0.0
1258.8,0.0,0.2,-0.6,0.0,1.6,0.6,0.4,2.0
1286.2,0.2,0.4,-0.6,0.2,2.6,0.8,0.4,3.0
1310.4,0.2,1.0,0.2,0.2,2.6,0.8,0.4,0.0
1326.8,0.2,0.8,0.2,0.2,3.4,0.8,0.8,1.0
1307.0,0.2,1.0,0.2,0.2,3.0,0.4,0.8,3.0
1306.8,0.6,1.2,1.2,0.4,3.4,0.4,0.8,0.0
1319.6,0.4,1.0,1.2,0.2,2.6,0.6,0.4,1.0
1327.4,0.4,0.6,1.0,0.2,3.0,0.6,0.4,0.0
1329.4,0.4,0.6,0.8,0.2,2.8,1.0,0.4,1.0
1350.8,0.4,0.6,0.4,0.2,4.4,0.8,0.4,1.0
1319.0,0.0,0.6,0.6,0.0,3.4,0.8,0.4,0.0
1310.2,0.0,0.6,0.2,0.0,3.4,0.4,0.4,0.0
1329.6,0.0,0.4,-0.2,0.0,3.2,0.8,0.4,0.0
1302.0,0.0,0.4,0.0,0.0,3.2,0.6,0.0,1.0
1291.8,0.0,0.4,0.2,0.0,1.6,0.8,0.0,1.0
1317.2,0.0,0.4,-0.6,0.0,1.6,1.0,0.0,2.0
1362.4,0.0,0.8,0.2,0.0,1.8,1.0,0.0,0.0
1370.8,0.0,0.8,0.2,0.0,2.0,1.0,0.0,0.0
1433.8,0.0,0.8,0.0,0.0,2.2,0.8,0.0,0.0
1444.2,0.0,0.6,0.2,0.0,3.0,0.6,0.0,0.0
1451.0,0.0,0.4,0.4,0.0,3.0,0.6,0.0,0.0
1401.2,0.0,0.0,0.0,0.0,2.8,0.6,0.0,0.0
1376.8,0.0,0.0,-0.4,0.0,2.6,0.2,0.0,0.0
1323.0,0.0,0.0,-0.2,0.0,2.0,0.2,0.0,0.0
1310.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0
1278.4,0.0,0.2,0.0,0.0,1.4,0.0,0.0,0.0
1282.0,0.0,0.2,0.0,0.0,1.2,0.0,0.0,0.0
1276.2,0.0,0.2,0.4,0.0,1.6,0.0,0.0,0.0
1295.0,0.0,0.2,0.0,0.0,1.8,0.2,0.0,1.0
1272.2,0.2,0.2,-0.2,0.0,2.0,0.2,0.0,0.0
1278.4,0.2,0.0,-0.2,0.0,1.6,0.2,0.0,0.0
1255.0,0.2,0.0,0.2,0.0,1.6,0.2,0.0,2.0
1299.4,0.2,0.4,0.2,0.0,1.0,0.6,0.0,1.0
1271.2,0.2,0.6,0.6,0.0,0.8,0.4,0.0,0.0
1284.8,0.0,0.6,0.4,0.0,1.0,0.8,0.0,1.0
1288.8,0.0,0.8,0.6,0.0,1.4,0.8,0.0,1.0
1303.4,0.0,1.0,0.4,0.0,1.8,1.2,0.0,1.0
1256.8,0.0,0.8,0.4,0.0,2.0,0.8,0.8,0.0
1265.2,0.0,0.6,0.0,0.0,3.0,1.2,0.8,0.0
1259.4,0.0,0.6,0.0,0.0,3.0,1.0,0.8,0.0
1271.8,0.0,0.4,0.0,0.0,2.6,1.0,1.2,0.0
1228.8,0.0,0.2,-0.8,0.0,2.2,0.6,1.2,1.0
1243.2,0.0,0.2,-0.8,0.0,3.0,0.8,0.4,0.0
1234.6,0.0,0.2,-0.2,0.0,2.4,0.4,0.4,0.0
1227.0,0.0,0.2,0.2,0.0,2.0,0.4,0.4,0.0
1252.0,0.0,0.2,0.4,0.0,2.4,0.4,0.0,1.0
1277.6,0.0,0.4,1.2,0.0,3.0,0.6,0.0,2.0
981.6,0.2,0.6,-0.4,0.0,1.6,1.4,0.4,1.0
949.8,0.4,0.2,-0.6,0.0,1.4,1.2,0.4,0.0
927.0,0.4,0.2,-0.4,0.0,1.6,1.6,0.8,1.0
866.2,0.4,0.2,0.0,0.0,1.2,2.0,0.4,0.0
813.4,0.2,0.2,-0.2,0.0,1.2,1.4,0.8,1.0
825.8,0.2,0.4,0.0,0.0,1.2,1.2,1.2,0.0
814.8,0.0,0.4,-0.4,0.0,1.4,1.2,1.2,1.0
811.0,0.2,0.4,0.0,0.2,1.6,0.8,0.8,0.0
816.2,0.2,0.2,-0.4,0.2,1.8,0.4,0.8,1.0
812.8,0.4,0.2,-0.2,0.2,2.0,0.2,0.4,0.0
829.4,0.4,0.0,-0.4,0.2,2.0,0.2,0.8,0.0
847.2,0.4,0.0,-0.4,0.2,2.0,0.4,0.8,0.0
839.0,0.2,0.0,-0.6,0.0,1.8,0.8,0.8,0.0
814.0,0.2,0.0,-0.4,0.0,1.4,1.0,0.8,1.0
844.4,0.0,0.2,0.0,0.0,1.2,0.8,0.8,0.0
846.2,0.0,0.2,0.0,0.0,1.6,1.0,0.0,0.0
849.0,0.0,0.2,0.2,0.0,1.4,0.8,0.0,1.0
814.2,0.2,0.2,0.4,0.0,1.2,0.4,1.0,2.0
863.0,0.4,0.4,0.8,0.0,1.8,0.6,1.4,0.0
831.2,0.4,0.2,0.0,0.0,1.8,0.6,1.8,1.0
790.2,0.6,0.2,0.0,0.0,1.8,0.8,3.2,0.0
718.8,0.6,0.2,-0.4,0.0,1.8,0.8,3.2,0.0
739.8,0.4,0.2,-1.0,0.0,2.0,1.0,3.6,0.0
701.2,0.2,0.0,-1.4,0.0,1.4,0.8,3.2,0.0
693.4,0.2,0.0,-1.0,0.0,1.0,1.0,2.8,0.0
689.2,0.0,0.0,-0.8,0.0,0.6,0.6,1.4,1.0
728.6,0.2,0.0,0.2,0.0,0.6,0.8,1.4,0.0
744.4,0.2,0.0,0.6,0.0,0.2,0.8,0.0,1.0
751.0,0.4,0.0,0.4,0.2,1.0,0.8,0.0,0.0
774.4,0.4,0.0,0.4,0.2,1.2,0.8,0.0,0.0
762.6,0.4,0.0,0.6,0.2,1.4,0.8,0.0,0.0
748.6,0.2,0.0,-0.2,0.2,1.8,0.6,0.0,1.0
714.2,0.2,0.2,0.0,0.2,1.8,0.6,0.0,0.0
667.6,0.0,0.2,0.4,0.0,1.2,0.4,0.0,0.0
675.6,0.0,0.2,0.6,0.0,1.4,0.6,0.4,1.0
707.4,0.2,0.2,0.2,0.2,2.2,1.0,0.4,0.0
742.2,0.2,0.2,0.4,0.2,1.6,1.2,0.4,0.0
760.8,0.2,0.0,0.2,0.2,2.0,1.2,1.4,0.0
787.0,0.2,0.0,-0.2,0.2,2.0,1.4,1.4,0.0
792.6,0.2,0.0,-0.4,0.2,2.2,1.0,1.4,0.0
797.4,0.0,0.0,-0.8,0.0,1.2,0.6,1.4,1.0
797.4,0.2,0.0,-0.2,0.0,2.4,0.4,1.4,0.0
770.4,0.2,0.0,-0.2,0.0,2.0,0.8,0.8,1.0
799.6,0.2,0.2,0.4,0.0,2.0,0.8,0.8,0.0
773.2,0.2,0.2,0.2,0.0,1.6,1.0,0.4,0.0
774.4,0.2,0.2,0.2,0.0,1.8,1.0,0.4,0.0
759.0,0.0,0.2,-0.6,0.0,0.8,1.0,0.4,0.0
949.0,0.6,0.6,0.0,0.2,2.4,1.0,0.4,0.0
954.8,0.6,0.6,0.0,0.2,2.0,1.0,0.0,1.0
947.2,0.4,0.8,-0.2,0.2,2.2,1.4,0.0,3.0
985.2,0.4,1.0,0.0,0.0,2.6,1.6,0.0,0.0
989.4,0.2,0.8,0.0,0.0,2.2,2.0,0.0,1.0
1056.6,0.4,0.6,0.0,0.0,2.8,1.6,0.0,1.0
1027.8,0.4,0.8,0.0,0.0,2.6,1.6,0.0,1.0
1054.0,0.6,0.6,-0.2,0.2,3.0,1.2,0.0,1.0
1019.4,0.4,0.4,-0.2,0.2,3.2,1.6,0.0,1.0
